run_id,system,question_id,repetition,model,temperature,started_at,finished_at,latency_ms,steps,answer,sparql_present,results_present,exact_accuracy,precision,recall,f1,completeness,hallucination_count,traceability,status,http_status,raw_file,error,notes
12,base_model,egfr_target_drugs,1,gpt-4.1-mini,0,2026-08-20T15:26:46+00:00,2026-08-20T15:26:48+00:00,1595,1,"['Erlotinib', 'Gefitinib', 'Afatinib', 'Osimertinib', 'Dacomitinib', 'Cetuximab', 'Necitumumab']",0,0,0.0,1.0,0.29411764705882354,0.45454545454545453,0.29411764705882354,0.0,0.0,partial,200,raw/012_base_model_egfr_target_drugs_r1.json,,No external context by design.
13,base_model,drug_type_distribution,2,gpt-4.1-mini,0,2026-08-20T15:26:48+00:00,2026-08-20T15:26:49+00:00,1123,1,"No se ha proporcionado información específica sobre los tipos de fármacos ni la cantidad de fármacos por tipo. Por favor, proporciona los datos o el contexto necesario para poder responder con precisión.",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,incorrect,200,raw/013_base_model_drug_type_distribution_r2.json,,No external context by design.
14,semantic_agent,drug_type_distribution,2,gpt-4.1-mini,0,2026-08-20T15:26:49+00:00,2026-08-20T15:26:58+00:00,8746,4,"Hay 1786 fármacos aprobados clasificados en 10 tipos. Los tipos con más fármacos son Small molecule (1440), Protein (162) y Antibody (106). Otros tipos incluyen Unknown, Oligonucleotide, Antibody drug conjugate, Gene, Enzyme, Oligosaccharide y Cell con cantidades menores.",1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/014_semantic_agent_drug_type_distribution_r2.json,,
15,graph_rag,drug_type_distribution,2,gpt-4.1-mini,0,2026-08-20T15:26:58+00:00,2026-08-20T15:27:01+00:00,3178,1,No hay información suficiente en la base cargada para responder con veracidad.,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,incorrect,200,raw/015_graph_rag_drug_type_distribution_r2.json,,"Evidence is retrieved context, not a formal SPARQL answer."
16,graph_rag,diabetes_mellitus_count,2,gpt-4.1-mini,0,2026-08-20T15:27:01+00:00,2026-08-20T15:27:06+00:00,4719,1,"En la base de datos cargada, los fármacos indicados para diabetes mellitus son:

1. GLYBURIDE (indicado para diabetes mellitus, diabetes tipo 2)
2. METFORMIN HYDROCHLORIDE (indicado para diabetes mellitus, diabetes tipo 2)
3. METFORMIN (indicado para diabetes mellitus)
4. INSULIN HUMAN (indicado para diabetes mellitus, diabetes tipo 2)
5. INSULIN GLARGINE (indicado para diabetes mellitus, diabetes tipo 1 y tipo 2)

Por lo tanto, hay 5 fármacos indicados para diabetes mellitus.",0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,incorrect,200,raw/016_graph_rag_diabetes_mellitus_count_r2.json,,"Evidence is retrieved context, not a formal SPARQL answer."
17,semantic_agent,diabetes_mellitus_count,2,gpt-4.1-mini,0,2026-08-20T15:27:06+00:00,2026-08-20T15:27:12+00:00,6232,4,Hay 63 fármacos indicados para diabetes mellitus según el dataset.,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/017_semantic_agent_diabetes_mellitus_count_r2.json,,
18,base_model,diabetes_mellitus_count,2,gpt-4.1-mini,0,2026-08-20T15:27:12+00:00,2026-08-20T15:27:14+00:00,2440,1,"Existen múltiples fármacos indicados para el tratamiento de la diabetes mellitus, incluyendo varias clases principales: insulinas, biguanidas (como la metformina), sulfonilureas, inhibidores de la DPP-4, agonistas del receptor GLP-1, inhibidores de SGLT2, tiazolidinedionas, meglitinidas y otros. En total, hay más de 20 fármacos diferentes aprobados para el manejo de la diabetes mellitus.",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,incorrect,200,raw/018_base_model_diabetes_mellitus_count_r2.json,,No external context by design.
19,semantic_agent,abarelix_mechanism_target,2,gpt-4.1-mini,0,2026-08-20T15:27:14+00:00,2026-08-20T15:27:26+00:00,11481,4,El fármaco ABARELIX tiene como mecanismo de acción 'Gonadotropin-releasing hormone receptor antagonist' y su diana biológica aprobada es 'GNRHR'.,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/019_semantic_agent_abarelix_mechanism_target_r2.json,,
20,graph_rag,abarelix_mechanism_target,2,gpt-4.1-mini,0,2026-08-20T15:27:26+00:00,2026-08-20T15:27:30+00:00,4411,1,"El fármaco ABARELIX tiene como mecanismo de acción ser un antagonista del receptor de la hormona liberadora de gonadotropina (Gonadotropin-releasing hormone receptor antagonist). Su diana es el receptor de la hormona liberadora de gonadotropina (Gonadotropin-releasing hormone receptor, símbolo GNRHR).",0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/020_graph_rag_abarelix_mechanism_target_r2.json,,"Evidence is retrieved context, not a formal SPARQL answer."
21,base_model,abarelix_mechanism_target,2,gpt-4.1-mini,0,2026-08-20T15:27:30+00:00,2026-08-20T15:27:32+00:00,1677,1,"Abarelix es un antagonista de la hormona liberadora de gonadotropinas (GnRH). Su mecanismo de acción consiste en bloquear los receptores de GnRH en la hipófisis, lo que inhibe la liberación de las gonadotropinas LH y FSH. Como resultado, disminuye la producción de testosterona en los testículos. La diana principal de Abarelix son los receptores de GnRH en la hipófisis.",0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,partial,200,raw/021_base_model_abarelix_mechanism_target_r2.json,,No external context by design.
22,semantic_agent,egfr_target_drugs,2,gpt-4.1-mini,0,2026-08-20T15:27:32+00:00,2026-08-20T15:27:51+00:00,19533,4,"Hay 17 fármacos aprobados que tienen como target aprobado EGFR. Algunos de ellos son AFATINIB DIMALEATE, AMIVANTAMAB, BRIGATINIB, CETUXIMAB, y OSIMERTINIB.",1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/022_semantic_agent_egfr_target_drugs_r2.json,,
23,graph_rag,egfr_target_drugs,2,gpt-4.1-mini,0,2026-08-20T15:27:51+00:00,2026-08-20T15:27:58+00:00,6352,1,"Los fármacos que tienen como target aprobado EGFR (Epidermal growth factor receptor) son:

1. CETUXIMAB (nombre comercial: Erbitux) - Anticuerpo que actúa como inhibidor del receptor del factor de crecimiento epidérmico erbB1. Indicaciones incluyen adenocarcinoma colorrectal, neoplasias malignas de cabeza y cuello, carcinoma de células escamosas, entre otras.

2. ERLOTINIB HYDROCHLORIDE (nombres comerciales: Erlotinib hydrochloride, Tarceva) - Molécula pequeña que inhibe el receptor del factor de crecimiento epidérmico erbB1. Indicada para carcinoma de pulmón no microcítico.

3. GEFITINIB (nombres comerciales: Iressa, Gefitinib mylan) - Molécula pequeña inhibidora del receptor del factor de crecimiento epidérmico erbB1. Indicada para neoplasias y carcinoma de pulmón no microcítico.

4. AFATINIB DIMALEATE (nombres comerciales: Giotrif, Gilotrif) - Molécula pequeña que inhibe el receptor del factor de crecimiento epidérmico erbB1, así como los receptores erbB-2 y erbB-4. Indicada para carcinoma de pulmón no microcítico.

Estos fármacos comparten el mecanismo de acción de inhibir el receptor EGFR.",0,1,0.0,1.0,0.23529411764705882,0.38095238095238093,0.23529411764705882,0.0,1.0,partial,200,raw/023_graph_rag_egfr_target_drugs_r2.json,,"Evidence is retrieved context, not a formal SPARQL answer."
24,base_model,egfr_target_drugs,2,gpt-4.1-mini,0,2026-08-20T15:27:58+00:00,2026-08-20T15:27:59+00:00,1236,1,"['Erlotinib', 'Gefitinib', 'Afatinib', 'Osimertinib', 'Dacomitinib', 'Cetuximab', 'Necitumumab']",0,0,0.0,1.0,0.29411764705882354,0.45454545454545453,0.29411764705882354,0.0,0.0,partial,200,raw/024_base_model_egfr_target_drugs_r2.json,,No external context by design.
25,base_model,drug_type_distribution,3,gpt-4.1-mini,0,2026-08-20T15:27:59+00:00,2026-08-20T15:28:00+00:00,1083,1,"No se ha proporcionado información específica sobre los tipos de fármacos ni la cantidad de fármacos por tipo. Por favor, proporciona más detalles o datos para poder responder con precisión.",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,incorrect,200,raw/025_base_model_drug_type_distribution_r3.json,,No external context by design.
26,semantic_agent,drug_type_distribution,3,gpt-4.1-mini,0,2026-08-20T15:28:00+00:00,2026-08-20T15:28:10+00:00,9553,4,"Hay 1786 fármacos aprobados distribuidos en 10 tipos. Los tipos con más fármacos son Small molecule (1440), Protein (162) y Antibody (106). Otros tipos incluyen Unknown, Oligonucleotide, Antibody drug conjugate, Gene, Enzyme, Oligosaccharide y Cell con cantidades menores.",1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/026_semantic_agent_drug_type_distribution_r3.json,,
27,graph_rag,drug_type_distribution,3,gpt-4.1-mini,0,2026-08-20T15:28:10+00:00,2026-08-20T15:28:14+00:00,4381,1,No hay información suficiente en la base cargada para responder con veracidad.,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,incorrect,200,raw/027_graph_rag_drug_type_distribution_r3.json,,"Evidence is retrieved context, not a formal SPARQL answer."
28,semantic_agent,diabetes_mellitus_count,3,gpt-4.1-mini,0,2026-08-20T15:28:14+00:00,2026-08-20T15:28:23+00:00,8774,4,Hay 63 fármacos indicados para diabetes mellitus según el dataset de fármacos aprobados.,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/028_semantic_agent_diabetes_mellitus_count_r3.json,,
29,base_model,diabetes_mellitus_count,3,gpt-4.1-mini,0,2026-08-20T15:28:23+00:00,2026-08-20T15:28:25+00:00,2380,1,"Existen múltiples fármacos indicados para el tratamiento de la diabetes mellitus, incluyendo varias clases principales: insulinas, biguanidas (como la metformina), sulfonilureas, inhibidores de la DPP-4, agonistas del receptor GLP-1, inhibidores del SGLT2, tiazolidinedionas, meglitinidas y otros. En total, hay más de 20 fármacos diferentes aprobados para el manejo de la diabetes mellitus.",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,incorrect,200,raw/029_base_model_diabetes_mellitus_count_r3.json,,No external context by design.
30,graph_rag,diabetes_mellitus_count,3,gpt-4.1-mini,0,2026-08-20T15:28:25+00:00,2026-08-20T15:28:29+00:00,3707,1,"En la base de datos cargada, los fármacos indicados para diabetes mellitus son:

1. GLYBURIDE (indicado para diabetes mellitus, diabetes tipo 2)
2. METFORMIN HYDROCHLORIDE (indicado para diabetes mellitus, diabetes tipo 2)
3. METFORMIN (indicado para diabetes mellitus)
4. INSULIN HUMAN (indicado para diabetes mellitus, diabetes tipo 2)
5. INSULIN GLARGINE (indicado para diabetes mellitus, diabetes tipo 1 y tipo 2)

Por lo tanto, hay 5 fármacos indicados para diabetes mellitus.",0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,incorrect,200,raw/030_graph_rag_diabetes_mellitus_count_r3.json,,"Evidence is retrieved context, not a formal SPARQL answer."
31,semantic_agent,abarelix_mechanism_target,3,gpt-4.1-mini,0,2026-08-20T15:28:29+00:00,2026-08-20T15:28:39+00:00,10419,4,El fármaco ABARELIX tiene como mecanismo de acción un antagonista del receptor de la hormona liberadora de gonadotropina (Gonadotropin-releasing hormone receptor antagonist) y su diana biológica aprobada es el receptor GNRHR.,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/031_semantic_agent_abarelix_mechanism_target_r3.json,,
32,base_model,abarelix_mechanism_target,3,gpt-4.1-mini,0,2026-08-20T15:28:39+00:00,2026-08-20T15:28:41+00:00,1804,1,"Abarelix es un antagonista de la hormona liberadora de gonadotropinas (GnRH). Su mecanismo de acción consiste en bloquear los receptores de GnRH en la hipófisis, lo que inhibe la liberación de las gonadotropinas LH y FSH. Esto conduce a una disminución en la producción de testosterona en los testículos. La diana principal de Abarelix son los receptores de GnRH en la hipófisis.",0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,partial,200,raw/032_base_model_abarelix_mechanism_target_r3.json,,No external context by design.
33,graph_rag,abarelix_mechanism_target,3,gpt-4.1-mini,0,2026-08-20T15:28:41+00:00,2026-08-20T15:28:45+00:00,3857,1,"El fármaco ABARELIX tiene como mecanismo de acción ser un antagonista del receptor de la hormona liberadora de gonadotropina (Gonadotropin-releasing hormone receptor antagonist). Su diana es el receptor de la hormona liberadora de gonadotropina (GNRHR), que es un receptor de membrana.",0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/033_graph_rag_abarelix_mechanism_target_r3.json,,"Evidence is retrieved context, not a formal SPARQL answer."
34,semantic_agent,egfr_target_drugs,3,gpt-4.1-mini,0,2026-08-20T15:28:45+00:00,2026-08-20T15:28:58+00:00,13384,4,"Los fármacos que tienen como target aprobado EGFR son: AFATINIB DIMALEATE, AMIVANTAMAB, BRIGATINIB, CETUXIMAB, DACOMITINIB, ERLOTINIB HYDROCHLORIDE, GEFITINIB, LAPATINIB DITOSYLATE, MOBOCERTINIB, MOBOCERTINIB SUCCINATE, NECITUMUMAB, NERATINIB MALEATE, OLMUTINIB, OSIMERTINIB, OSIMERTINIB MESYLATE, PANITUMUMAB y VANDETANIB.",1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/034_semantic_agent_egfr_target_drugs_r3.json,,
35,base_model,egfr_target_drugs,3,gpt-4.1-mini,0,2026-08-20T15:28:58+00:00,2026-08-20T15:29:00+00:00,1535,1,"['Erlotinib', 'Gefitinib', 'Afatinib', 'Osimertinib', 'Dacomitinib', 'Cetuximab', 'Panitumumab']",0,0,0.0,1.0,0.29411764705882354,0.45454545454545453,0.29411764705882354,0.0,0.0,partial,200,raw/035_base_model_egfr_target_drugs_r3.json,,No external context by design.
36,graph_rag,egfr_target_drugs,3,gpt-4.1-mini,0,2026-08-20T15:29:00+00:00,2026-08-20T15:29:07+00:00,6689,1,"Los fármacos que tienen como target aprobado EGFR (Epidermal growth factor receptor) son:

1. CETUXIMAB (nombre comercial: Erbitux) - Anticuerpo que actúa como inhibidor del receptor del factor de crecimiento epidérmico erbB1. Indicaciones incluyen adenocarcinoma colorrectal, neoplasias malignas de cabeza y cuello, carcinoma de células escamosas, entre otras.

2. ERLOTINIB HYDROCHLORIDE (nombres comerciales: Erlotinib hydrochloride, Tarceva) - Molécula pequeña que inhibe el receptor del factor de crecimiento epidérmico erbB1. Indicada para carcinoma de pulmón no microcítico.

3. GEFITINIB (nombres comerciales: Iressa, Gefitinib mylan) - Molécula pequeña inhibidora del receptor del factor de crecimiento epidérmico erbB1. Indicada para neoplasias y carcinoma de pulmón no microcítico.

4. AFATINIB DIMALEATE (nombres comerciales: Giotrif, Gilotrif) - Molécula pequeña que inhibe el receptor del factor de crecimiento epidérmico erbB1, así como los receptores erbB-2 y erbB-4. Indicada para carcinoma de pulmón no microcítico.

Estos fármacos comparten el mecanismo de acción de inhibir el receptor EGFR.",0,1,0.0,1.0,0.23529411764705882,0.38095238095238093,0.23529411764705882,0.0,1.0,partial,200,raw/036_graph_rag_egfr_target_drugs_r3.json,,"Evidence is retrieved context, not a formal SPARQL answer."
